"Model","Origin","Price","MPG","Hroom","Rseat","Trunk","Weight","Length","Turn","Displa","Gratio"
"Dodge St. Regis  ","A",6342,17,4.5,28,21,3740,220,46,225,2.94
"Fiat Strada      ","E",4296,21,2.5,26.5,16,2130,161,36,105,3.37
"Ford Fiesta      ","A",4389,28,1.5,26,9,1800,147,33,98,3.15
"Ford Mustang     ","A",4187,21,2,23,10,2650,179,42,140,3.08
"Honda Accord     ","J",5799,25,3,25.5,10,2240,172,36,107,3.05
"Honda Civic      ","J",4499,28,2.5,23.5,5,1760,149,34,91,3.3
"Linc. Continental","A",11497,12,3.5,30.5,22,4840,233,51,400,2.47
"Linc. Cont Mark V","A",13594,12,2.5,28.5,18,4720,230,48,400,2.47
"Linc. Versailles ","A",13466,14,3.5,27,15,3830,201,41,302,2.47
"Mazda GLC        ","J",3995,30,3.5,25.5,11,1980,154,33,86,3.73
"Merc. Bobcat     ","A",3829,22,3,25.5,9,2580,169,39,140,2.73
"Merc. Cougar     ","A",5379,14,3.5,29.5,16,4060,221,48,302,2.75
"Merc. Cougar XR-7","A",6303,14,3,25,16,4130,217,45,302,2.75
"Merc. Marquis    ","A",6165,15,3.5,30.5,23,3720,212,44,302,2.26
"Merc. Monarch    ","A",4516,18,3,27,15,3370,198,41,250,2.43
"Merc. Zephyr     ","A",3291,20,3.5,29,17,2830,195,43,140,3.08
"Olds. 98         ","A",8814,21,4,31.5,20,4060,220,43,350,2.41
"Olds. Cutlass    ","A",4733,19,4.5,28,16,3300,198,42,231,2.93
"Olds. Cutl Supr  ","A",5172,19,2,28,16,3310,198,42,231,2.93
"Olds. Delta 88   ","A",5890,18,4,29,20,3690,218,42,231,2.73
"Olds. Omega      ","A",4181,19,4.5,27,14,3370,200,43,231,3.08
"Olds. Starfire   ","A",4195,24,2,25.5,10,2720,180,40,151,2.73
"Olds. Toronado   ","A",10371,16,3.5,30,17,4030,206,43,350,2.41
"Peugeot 604 SL   ","E",12990,14,3.5,30.5,14,3420,192,38,163,3.58
"Plym. Arrow      ","A",4647,28,2,21.5,11,2360,170,37,156,3.05
"Plym. Champ      ","A",4425,34,2.5,23,11,1800,157,37,86,2.97
"Plym. Horizon    ","A",4482,25,4,25,17,2200,165,36,105,3.37
"Plym. Sapporo    ","A",6486,26,1.5,22,8,2520,182,38,119,3.54
"Plym. Volare     ","A",4060,18,5,31,16,3330,201,44,225,3.23
"Pont. Catalina   ","A",5798,18,4,29,20,3700,214,42,231,2.73
"Pont. Firebird   ","A",4934,18,1.5,23.5,7,3470,198,42,231,3.08
"Pont. Grand Prix ","A",5222,19,2,28.5,16,3210,201,45,231,2.93
"Pont. Le Mans    ","A",4723,19,3.5,28,17,3200,199,40,231,2.93
"Pont. Phoenix    ","A",4424,19,3.5,27,13,3420,203,43,231,3.08
"Pont. Sunbird    ","A",4172,24,2,25,7,2690,179,41,151,2.73
"Renault Le Car   ","E",3895,26,3,23,10,1830,142,34,79,3.72
"Subaru           ","J",3798,35,2.5,25.5,11,2050,164,36,97,3.81
"Toyota Celica    ","J",5899,18,2.5,22,14,2410,174,36,134,3.06
"Toyota Corolla   ","J",3748,31,3,24.5,9,2200,165,35,97,3.21
"Toyota Corona    ","J",5719,18,2,23,11,2670,175,36,134,3.05
"VW Rabbit        ","E",4697,25,3,25.5,15,1930,155,35,89,3.78
"VW Rabbit Diesel ","E",5397,41,3,25.5,15,2040,155,35,90,3.78
"VW ScirOcco      ","E",6850,25,2,23.5,16,1990,156,36,97,3.78
"VW Dasher        ","E",7140,23,2.5,37.5,12,2160,172,36,97,3.74
"Volvo 260        ","E",11995,17,2.5,29.5,14,3170,193,37,163,2.98
